0,31,0,54,46,1
1,29,0,21,41,1
2,26,0,77,5,1
3,1,0,21,12,1
4,48,0,55,38,1
5,21,0,66,15,1
6,22,0,13,40,1
7,32,0,27,1,1
8,22,0,91,20,1
9,48,0,32,18,1
10,45,0,5,25,1
11,10,0,67,14,1
12,14,0,99,49,1
13,11,0,19,39,1
14,16,0,72,46,1
15,34,0,74,46,1
16,30,0,69,15,1
17,35,0,50,35,1
18,3,0,97,16,1
19,49,0,44,32,1
20,24,0,51,25,1
21,48,0,35,19,1
22,25,0,6,34,1
23,44,0,63,41,1
24,37,0,71,49,1
25,14,0,6,3,1
26,7,0,28,9,1
27,13,0,26,9,1
28,23,0,90,49,1
29,5,0,75,39,1
30,33,0,40,23,1
31,5,0,14,46,1
32,15,0,79,25,1
33,41,0,42,14,1
34,13,0,2,38,1
35,29,0,84,21,1
36,25,0,79,12,1
37,8,0,88,18,1
38,34,0,27,7,1
39,36,0,47,27,1
40,6,0,56,9,1
41,10,0,46,20,1
42,19,0,76,2,1
43,41,0,5,31,1
44,28,0,49,40,1
45,44,0,40,11,1
46,3,0,90,45,1
47,16,0,58,49,1
48,47,0,53,8,1
49,1,0,58,12,1
50,14,0,25,38,1
51,2,0,10,2,1
52,30,0,20,40,1
53,27,0,17,41,1
54,35,0,52,11,1
55,35,0,86,14,1
56,12,0,84,21,1
57,11,0,24,23,1
58,2,0,54,27,1
59,0,0,30,3,1
60,7,0,38,28,1
61,18,0,18,2,1
62,18,0,44,40,1
63,44,0,2,15,1
64,40,0,51,7,1
65,20,0,83,24,1
66,27,0,54,28,1
67,14,0,13,42,1
68,38,0,48,49,1
69,20,0,34,30,1
70,0,0,13,5,1
71,24,0,59,23,1
72,36,0,27,48,1
73,13,0,44,44,1
74,32,0,37,36,1
75,3,0,23,42,1
76,10,0,88,35,1
77,35,0,2,40,1
78,29,0,77,48,1
79,4,0,18,10,1
80,27,0,16,1,1
81,8,0,56,9,1
82,0,0,29,21,1
83,44,0,5,14,1
84,24,0,51,11,1
85,2,0,99,7,1
86,7,0,25,5,1
87,26,0,60,40,1
88,21,0,73,42,1
89,42,0,71,16,1
90,7,0,98,28,1
91,12,0,33,20,1
92,32,0,61,14,1
93,25,0,73,10,1
94,7,0,89,29,1
95,4,0,89,36,1
96,4,0,68,3,1
97,8,0,74,31,1
98,6,0,19,21,1
99,31,0,90,32,1
100,7,0,13,17,1
101,8,0,80,32,1
102,9,0,83,43,1
103,1,0,84,7,1
